,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/P90,Ast/P90,G+A/P90,G-PK/P90,G+A-PK/P90,xG,npxG,xA,npxG+xA,xG/P90,xA/P90,xG+xA/P90,npxG/P90,npxG+xA/P90
247,Mert Müldür,tr TUR,DF,23-150,1,1,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,Giacomo Raspadori,it ITA,"FW,MF",22-194,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Abdou Harroui,nl NED,MF,24-230,3,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Emil Ceide,no NOR,FW,20-362,2,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.12,1.12,0.0,1.12
251,Agustín Álvarez Martínez,uy URU,FW,21-104,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Riccardo Marchizza,it ITA,DF,24-158,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Luca D'Andrea,it ITA,MF,17-359,0,0,,,,,,,,,,,,,,,,,,,,,,,
254,Pedro Obiang,gq EQG,MF,30-157,0,0,,,,,,,,,,,,,,,,,,,,,,,
255,Gianluca Pegolo,it ITA,GK,41-159,0,0,,,,,,,,,,,,,,,,,,,,,,,
256,Ruan,br BRA,DF,23-085,0,0,,,,,,,,,,,,,,,,,,,,,,,
257,Alessandro Russo,it ITA,GK,21-153,0,0,,,,,,,,,,,,,,,,,,,,,,,
258,Dylan Bronn,tn TUN,DF,27-073,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.1,0.01,0.11,0.1,0.11
259,Federico Fazio,ar ARG,DF,35-167,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.11,0.0,0.11,0.11,0.11
260,Luigi Sepe,it ITA,GK,31-115,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Tonny Vilhena,nl NED,"MF,DF",27-240,3,3,270.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,0.5,0.5,0.3,0.9,0.18,0.11,0.29,0.18,0.29
262,Norbert Gyömbér,sk SVK,DF,30-059,3,3,260.0,2.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,Antonio Candreva,it ITA,"DF,MF",35-184,3,3,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.07,0.12,0.18,0.07,0.18
264,Federico Bonazzoli,it ITA,FW,25-102,3,3,244.0,2.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.37,0.0,0.37,0.37,0.37,1.1,1.1,0.0,1.1,0.4,0.01,0.41,0.4,0.41
265,Pasquale Mazzocchi,it ITA,DF,27-035,3,3,196.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.13,0.14,0.01,0.14
266,Giulio Maggiore,it ITA,MF,24-172,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.06,0.0,0.06,0.06,0.06
267,Lassana Coulibaly,ml MLI,MF,26-143,2,2,162.0,1.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.56,0.56,0.0,0.56,0.0,0.0,0.4,0.4,0.0,0.22,0.22,0.0,0.22
268,Erik Botheim,no NOR,FW,22-233,3,2,132.0,1.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.68,0.0,0.68,0.68,0.68,0.2,0.2,0.0,0.2,0.17,0.0,0.17,0.17,0.17
269,Boulaye Dia,sn SEN,FW,25-288,2,1,122.0,1.4,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.74,1.48,2.21,0.74,2.21,0.8,0.8,0.4,1.2,0.61,0.28,0.89,0.61,0.89
270,Grigoris Kastanos,cy CYP,MF,24-213,2,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.04,0.07,0.03,0.07
271,Ivan Radovanović,rs SRB,MF,34-002,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Domagoj Bradarić,hr CRO,DF,22-264,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,Diego Valencia,cl CHI,"FW,DF",22-229,3,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,Junior Sambia,fr FRA,"DF,MF",25-358,2,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,Franck Ribéry,fr FRA,MF,39-146,1,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Julian Kristoffersen,no NOR,FW,25-113,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
