,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/P90,Ast/P90,G+A/P90,G-PK/P90,G+A-PK/P90,xG,npxG,xA,npxG+xA,xG/P90,xA/P90,xG+xA/P90,npxG/P90,npxG+xA/P90
14,Junior Messias,br BRA,"FW,MF",30.0,26,14,1428.0,15.9,5.0,2.0,5.0,0.0,0.0,2.0,0.0,0.32,0.13,0.44,0.32,0.44,3.6,3.6,2.0,5.6,0.22,0.13,0.35,0.22,0.35
15,Alessandro Florenzi,it ITA,"DF,FW",30.0,24,12,1152.0,12.8,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.16,0.0,0.16,0.16,0.16,0.7,0.7,1.2,2.0,0.06,0.1,0.15,0.06,0.15
16,Zlatan Ibrahimović,se SWE,FW,39.0,23,11,1016.0,11.3,8.0,2.0,8.0,0.0,1.0,2.0,0.0,0.71,0.18,0.89,0.71,0.89,6.8,6.1,2.0,8.1,0.61,0.18,0.78,0.54,0.72
17,Simon Kjær,dk DEN,DF,32.0,11,10,802.0,8.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,1.0,0.07,0.04,0.11,0.07,0.11
18,Ante Rebić,hr CRO,FW,27.0,24,6,891.0,9.9,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.2,0.4,2.5,2.5,4.6,7.1,0.25,0.47,0.72,0.25,0.72
19,Ciprian Tătărușanu,ro ROU,GK,35.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Matteo Gabbia,it ITA,DF,21.0,8,6,537.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03
21,Tiemoué Bakayoko,fr FRA,MF,26.0,14,5,501.0,5.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.05,0.09,0.15,0.05,0.15
22,Fodé Ballo-Touré,sn SEN,DF,24.0,10,5,446.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.11,0.04,0.15,0.11,0.15
23,Daniel Maldini,it ITA,MF,19.0,8,2,148.0,1.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.61,0.0,0.61,0.61,0.61,0.2,0.2,0.1,0.3,0.14,0.04,0.18,0.14,0.18
24,Pietro Pellegri,it ITA,FW,20.0,6,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.14,0.26,0.41,0.14,0.41
25,Samu Castillejo,es ESP,"FW,MF",26.0,5,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.08,0.13,0.21,0.08,0.21
26,Andrea Conti,it ITA,DF,27.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Luca Stanga,it ITA,DF,19.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Sebastiano Desplanches,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
29,Enrico Di Gesù,it ITA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
30,Andreas Jungdal,dk DEN,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
31,Marko Lazetić,rs SRB,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
32,Antonio Mirante,it ITA,GK,38.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
33,Lapo Nava,it ITA,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
34,Alessandro Plizzari,it ITA,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
35,Tommaso Pobega,it ITA,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
36,Samir Handanović,si SVN,GK,37.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Nicolò Barella,it ITA,MF,24.0,36,36,2913.0,32.4,3.0,11.0,3.0,0.0,0.0,9.0,0.0,0.09,0.34,0.43,0.09,0.43,5.2,5.2,7.9,13.1,0.16,0.24,0.4,0.16,0.4
38,Milan Škriniar,sk SVK,DF,26.0,35,35,3150.0,35.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,2.5,2.5,0.6,3.1,0.07,0.02,0.09,0.07,0.09
39,Marcelo Brozović,hr CRO,MF,28.0,35,35,2937.0,32.6,2.0,1.0,2.0,0.0,0.0,7.0,0.0,0.06,0.03,0.09,0.06,0.09,1.2,1.2,1.8,3.0,0.04,0.06,0.09,0.04,0.09
40,Ivan Perišić,hr CRO,DF,32.0,35,35,2821.0,31.3,8.0,6.0,7.0,1.0,1.0,4.0,0.0,0.26,0.19,0.45,0.22,0.41,5.1,4.4,8.0,12.4,0.16,0.25,0.42,0.14,0.39
41,Hakan Çalhanoğlu,tr TUR,MF,27.0,34,33,2480.0,27.6,7.0,12.0,4.0,3.0,3.0,11.0,0.0,0.25,0.44,0.69,0.15,0.58,6.5,3.9,8.3,12.2,0.23,0.3,0.54,0.14,0.44
42,Alessandro Bastoni,it ITA,DF,22.0,31,29,2311.0,25.7,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.04,0.08,0.12,0.04,0.12,0.5,0.5,1.4,1.9,0.02,0.05,0.07,0.02,0.07
43,Stefan de Vrij,nl NED,DF,29.0,30,28,2410.0,26.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.09,0.0,0.09,0.09,0.09
44,Lautaro Martínez,ar ARG,FW,23.0,35,28,2282.0,25.4,21.0,3.0,18.0,3.0,6.0,6.0,0.0,0.83,0.12,0.95,0.71,0.83,19.6,15.5,3.5,19.0,0.77,0.14,0.91,0.61,0.75
45,Edin Džeko,ba BIH,FW,35.0,36,27,2469.0,27.4,13.0,6.0,13.0,0.0,0.0,2.0,0.0,0.47,0.22,0.69,0.47,0.69,13.2,13.2,4.5,17.7,0.48,0.17,0.65,0.48,0.65
46,Denzel Dumfries,nl NED,DF,25.0,33,21,2028.0,22.5,5.0,4.0,5.0,0.0,0.0,3.0,0.0,0.22,0.18,0.4,0.22,0.4,5.8,5.8,3.9,9.6,0.26,0.17,0.43,0.26,0.43
47,Matteo Darmian,it ITA,DF,31.0,25,18,1507.0,16.7,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.12,0.06,0.18,0.12,0.18,0.9,0.9,2.2,3.1,0.05,0.13,0.19,0.05,0.19
48,Federico Dimarco,it ITA,DF,23.0,32,13,1430.0,15.9,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.13,0.19,0.31,0.13,0.31,3.5,2.7,5.2,7.9,0.22,0.33,0.54,0.17,0.5
49,Joaquín Correa,ar ARG,FW,26.0,26,12,1025.0,11.4,6.0,1.0,6.0,0.0,0.0,2.0,0.0,0.53,0.09,0.61,0.53,0.61,4.8,4.8,2.0,6.7,0.42,0.17,0.59,0.42,0.59
50,Danilo D'Ambrosio,it ITA,DF,32.0,20,9,1000.0,11.1,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.09,0.18,0.09,0.18,1.9,1.9,0.1,2.0,0.17,0.01,0.18,0.17,0.18
51,Alexis Sánchez,cl CHI,FW,32.0,27,7,881.0,9.8,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.51,0.2,0.72,0.51,0.72,5.3,5.3,1.7,7.0,0.54,0.18,0.72,0.54,0.72
52,Roberto Gagliardini,it ITA,MF,27.0,18,6,649.0,7.2,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.28,0.28,0.55,0.28,0.55,1.0,1.0,1.9,2.9,0.13,0.26,0.4,0.13,0.4
53,Andrea Ranocchia,it ITA,DF,33.0,6,3,341.0,3.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.05,0.0,0.05,0.05,0.05
54,Arturo Vidal,cl CHI,MF,34.0,28,2,741.0,8.2,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.12,0.12,0.24,0.12,0.24,1.8,1.8,2.3,4.1,0.22,0.28,0.5,0.22,0.5
55,Matías Vecino,uy URU,MF,29.0,17,2,377.0,4.2,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.24,0.0,0.24,0.24,0.24,1.3,1.3,0.8,2.1,0.31,0.18,0.49,0.31,0.49
56,Stefano Sensi,it ITA,MF,25.0,9,1,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.18,0.15,0.33,0.18,0.33
57,Ionuț Radu,ro ROU,GK,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Robin Gosens,de GER,DF,27.0,7,0,169.0,1.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.53,0.0,0.53,0.3,0.3,0.4,0.7,0.18,0.22,0.39,0.18,0.39
59,Aleksandar Kolarov,rs SRB,DF,35.0,3,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
60,Martin Satriano,it ITA,"FW,MF",20.0,4,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1
61,Felipe Caicedo,ec ECU,FW,32.0,3,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.67,0.67,0.0,0.67
62,Mattia Zanotti,it ITA,DF,18.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.75,0.75,0.0,0.75
63,Lucien Agoume,fr FRA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
64,Franco Carboni,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
65,Cesare Casadei,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
66,Alex Cordaz,it ITA,GK,38.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
67,Fabio Cortinovis,it ITA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
68,Dennis Curatolo,it ITA,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
69,Andrea Pinamonti,it ITA,FW,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
70,William Rovida,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
71,Mattia Sangalli,it ITA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
72,Mário Rui,pt POR,DF,30.0,34,34,2992.0,33.2,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.15,0.15,0.0,0.15,1.7,1.7,3.3,5.0,0.05,0.1,0.15,0.05,0.15
73,Amir Rrahmani,xk KVX,DF,27.0,33,33,2927.0,32.5,4.0,0.0,4.0,0.0,0.0,5.0,0.0,0.12,0.0,0.12,0.12,0.12,3.7,3.7,0.2,3.9,0.11,0.01,0.12,0.11,0.12
74,Giovanni Di Lorenzo,it ITA,DF,27.0,33,33,2869.0,31.9,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.03,0.13,0.16,0.03,0.16,1.2,1.2,2.7,3.9,0.04,0.09,0.12,0.04,0.12
75,David Ospina,co COL,GK,32.0,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Fabián Ruiz Peña,es ESP,MF,25.0,32,29,2384.0,26.5,7.0,4.0,7.0,0.0,0.0,2.0,0.0,0.26,0.15,0.42,0.26,0.42,1.6,1.6,2.8,4.4,0.06,0.11,0.17,0.06,0.17
77,Lorenzo Insigne,it ITA,FW,30.0,32,28,2290.0,25.4,11.0,8.0,2.0,9.0,13.0,2.0,0.0,0.43,0.31,0.75,0.08,0.39,15.1,5.2,5.7,10.8,0.59,0.22,0.82,0.2,0.43
78,Kalidou Koulibaly,sn SEN,DF,30.0,27,27,2405.0,26.7,3.0,1.0,3.0,0.0,0.0,5.0,1.0,0.11,0.04,0.15,0.11,0.15,1.7,1.7,0.5,2.2,0.07,0.02,0.08,0.07,0.08
79,Piotr Zieliński,pl POL,MF,27.0,35,26,2086.0,23.2,6.0,5.0,6.0,0.0,0.0,1.0,0.0,0.26,0.22,0.47,0.26,0.47,3.0,3.0,3.3,6.3,0.13,0.14,0.27,0.13,0.27
80,Victor Osimhen,ng NGA,FW,22.0,27,23,1983.0,22.0,14.0,2.0,14.0,0.0,0.0,5.0,1.0,0.64,0.09,0.73,0.64,0.73,11.5,11.5,1.8,13.3,0.52,0.08,0.6,0.52,0.6
81,Andre-Frank Zambo Anguissa,cm CMR,MF,25.0,25,21,1926.0,21.4,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.05,0.05,0.0,0.05,1.1,1.1,1.6,2.8,0.05,0.08,0.13,0.05,0.13
82,Matteo Politano,it ITA,FW,27.0,33,20,1650.0,18.3,3.0,4.0,3.0,0.0,0.0,3.0,0.0,0.16,0.22,0.38,0.16,0.38,2.7,2.7,4.0,6.7,0.15,0.22,0.37,0.15,0.37
83,Hirving Lozano,mx MEX,FW,26.0,30,20,1613.0,17.9,5.0,5.0,5.0,0.0,0.0,3.0,0.0,0.28,0.28,0.56,0.28,0.56,6.1,5.9,2.7,8.6,0.34,0.15,0.49,0.33,0.48
84,Stanislav Lobotka,sk SVK,MF,26.0,23,19,1686.0,18.7,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.05,0.0,0.05,0.05,0.05,0.1,0.1,0.6,0.7,0.0,0.03,0.04,0.0,0.04
85,Dries Mertens,be BEL,"FW,MF",34.0,30,16,1384.0,15.4,11.0,1.0,10.0,1.0,1.0,2.0,0.0,0.72,0.07,0.78,0.65,0.72,4.6,3.8,2.4,6.2,0.3,0.15,0.45,0.25,0.4
86,Juan Jesus,br BRA,DF,30.0,21,14,1278.0,14.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,0.6,0.6,0.2,0.7,0.04,0.01,0.05,0.04,0.05
87,Elif Elmas,mk MKD,"FW,MF",21.0,37,12,1620.0,18.0,3.0,4.0,3.0,0.0,0.0,3.0,0.0,0.17,0.22,0.39,0.17,0.39,2.4,2.4,2.0,4.5,0.14,0.11,0.25,0.14,0.25
88,Diego Demme,de GER,MF,29.0,19,7,692.0,7.7,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,0.3,0.3,0.3,0.6,0.04,0.04,0.08,0.04,0.08
89,Alex Meret,it ITA,GK,24.0,7,7,619.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Alessandro Zanoli,it ITA,DF,20.0,12,5,457.0,5.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.04,0.04,0.0,0.04
91,Andrea Petagna,it ITA,FW,26.0,24,4,586.0,6.5,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.46,0.15,0.61,0.46,0.61,1.6,1.6,1.4,3.0,0.25,0.21,0.46,0.25,0.46
92,Faouzi Ghoulam,dz ALG,DF,30.0,14,3,332.0,3.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.04,0.1,0.14,0.04,0.14
93,Kostas Manolas,gr GRE,DF,30.0,4,3,313.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Kévin Malcuit,ma MAR,DF,30.0,8,2,288.0,3.2,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.31,0.31,0.0,0.31,0.1,0.1,0.4,0.5,0.02,0.13,0.15,0.02,0.15
95,Adam Ounas,dz ALG,"MF,FW",24.0,15,1,326.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.0,1.9,0.25,0.27,0.52,0.25,0.52
96,Gianluca Gaetano,it ITA,MF,21.0,2,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Davide Marfella,it ITA,GK,21.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Axel Tuanzebe,eng ENG,DF,23.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Giuseppe Ambrosino,it ITA,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100,Benedetto Barba,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
101,Antonio Cioffi,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
102,Davide Costanzo,it ITA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
103,Hubert Idasiak,pl POL,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
104,Balla Manè,it ITA,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
105,Luca Palmiero,it ITA,MF,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
106,Jonathan Spedalieri,it ITA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
107,Antonio Vergara,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
108,Wojciech Szczęsny,pl POL,GK,31.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
109,Matthijs de Ligt,nl NED,DF,21.0,31,29,2674.0,29.7,3.0,1.0,3.0,0.0,0.0,4.0,1.0,0.1,0.03,0.13,0.1,0.13,1.6,1.6,0.5,2.1,0.05,0.02,0.07,0.05,0.07
110,Juan Cuadrado,co COL,"DF,MF",33.0,33,28,2487.0,27.6,4.0,3.0,4.0,0.0,0.0,9.0,0.0,0.14,0.11,0.25,0.14,0.25,2.0,2.0,5.0,7.0,0.07,0.18,0.25,0.07,0.25
111,Adrien Rabiot,fr FRA,MF,26.0,32,28,2285.0,25.4,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.08,0.08,0.0,0.08,1.7,1.7,1.8,3.5,0.07,0.07,0.14,0.07,0.14
112,Álvaro Morata,es ESP,FW,28.0,35,26,2302.0,25.6,9.0,4.0,8.0,1.0,1.0,5.0,0.0,0.35,0.16,0.51,0.31,0.47,8.0,7.2,6.1,13.3,0.31,0.24,0.55,0.28,0.52
113,Paulo Dybala,ar ARG,"FW,MF",27.0,29,26,2061.0,22.9,10.0,5.0,9.0,1.0,2.0,3.0,0.0,0.44,0.22,0.66,0.39,0.61,8.1,6.6,3.7,10.3,0.35,0.16,0.52,0.29,0.45
114,Manuel Locatelli,it ITA,MF,23.0,31,23,2160.0,24.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0,0.12,0.12,0.25,0.12,0.25,2.1,2.1,1.8,3.9,0.09,0.08,0.16,0.09,0.16
115,Leonardo Bonucci,it ITA,DF,34.0,24,22,2005.0,22.3,5.0,0.0,2.0,3.0,3.0,1.0,0.0,0.22,0.0,0.22,0.09,0.09,4.9,2.6,0.4,3.0,0.22,0.02,0.24,0.12,0.13
116,Danilo,br BRA,"DF,MF",30.0,22,22,1893.0,21.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.05,0.1,0.14,0.05,0.14,1.2,1.2,1.2,2.4,0.06,0.06,0.11,0.06,0.11
117,Alex Sandro,br BRA,DF,30.0,28,17,1780.0,19.8,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,0.7,0.7,1.4,2.1,0.03,0.07,0.11,0.03,0.11
118,Federico Bernardeschi,it ITA,"MF,FW",27.0,28,16,1475.0,16.4,1.0,3.0,1.0,0.0,0.0,5.0,0.0,0.06,0.18,0.24,0.06,0.24,1.4,1.4,1.9,3.3,0.09,0.12,0.2,0.09,0.2
119,Giorgio Chiellini,it ITA,DF,36.0,21,16,1354.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06
120,Weston McKennie,us USA,MF,22.0,21,15,1369.0,15.2,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,2.3,2.3,1.2,3.4,0.15,0.08,0.23,0.15,0.23
121,Luca Pellegrini,it ITA,DF,22.0,18,15,1107.0,12.3,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,1.6,1.7,0.01,0.13,0.14,0.01,0.14
122,Mattia De Sciglio,it ITA,DF,28.0,20,13,1168.0,13.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.08,0.15,0.23,0.08,0.23,0.2,0.2,2.4,2.6,0.02,0.19,0.2,0.02,0.2
123,Rodrigo Bentancur,uy URU,MF,24.0,19,13,1155.0,12.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,0.08,0.0,0.08,0.4,0.4,0.3,0.8,0.03,0.02,0.06,0.03,0.06
124,Moise Kean,it ITA,FW,21.0,32,12,1098.0,12.2,5.0,2.0,5.0,0.0,0.0,5.0,0.0,0.41,0.16,0.57,0.41,0.57,4.1,4.1,0.1,4.2,0.34,0.01,0.35,0.34,0.35
125,Dušan Vlahović,rs SRB,FW,21.0,15,12,1076.0,12.0,7.0,1.0,7.0,0.0,0.0,2.0,0.0,0.59,0.08,0.67,0.59,0.67,5.4,5.4,1.2,6.6,0.45,0.1,0.55,0.45,0.55
126,Arthur Melo,br BRA,MF,24.0,20,11,962.0,10.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.01,0.03,0.04,0.01,0.04
127,Federico Chiesa,it ITA,"MF,FW",23.0,14,11,863.0,9.6,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.21,0.21,0.42,0.21,0.42,2.3,2.3,1.2,3.5,0.24,0.12,0.37,0.24,0.37
